ga.dateHourMinute;ga.userType;ga.sessionCount;ga.userBucket;ga.sessionDurationBucket;ga.sessionsWithEvent;ga.uniqueDimensionCombinations;Sucess
201803181810;New Visitor;1;41;54;0;1;FALSE
201803181812;New Visitor;1;3;3;1;1;FALSE
201803181924;New Visitor;1;93;2;1;1;FALSE
201803181930;New Visitor;1;44;26;1;1;FALSE
201803181933;New Visitor;1;16;2;1;1;FALSE
201803182213;New Visitor;1;98;2;1;1;FALSE
201803182242;Returning Visitor;2;36;7;1;1;FALSE
201803182243;Returning Visitor;2;36;7;0;1;FALSE
201803182256;New Visitor;1;18;189;0;1;FALSE
201803182257;New Visitor;1;18;189;0;1;FALSE
201803182258;New Visitor;1;18;189;0;1;FALSE
201803182259;New Visitor;1;18;189;0;1;FALSE
201803190029;New Visitor;1;8;1;1;1;FALSE
201803190312;New Visitor;1;23;26;1;1;FALSE
201803190430;New Visitor;1;47;129;1;1;FALSE
201803190431;New Visitor;1;47;129;0;1;FALSE
201803190829;New Visitor;1;87;33;1;1;FALSE
201803190841;New Visitor;1;26;1;1;1;FALSE
201803190957;New Visitor;1;88;1;1;1;FALSE
201803191109;New Visitor;1;16;233;1;1;FALSE
201803191110;New Visitor;1;16;233;0;1;FALSE
201803191111;New Visitor;1;91;92;1;1;FALSE
201803191112;New Visitor;1;91;92;0;1;FALSE
201803191113;New Visitor;1;16;233;0;1;FALSE
201803191113;New Visitor;1;91;92;0;1;FALSE
201803191327;New Visitor;1;84;50;1;1;FALSE
201803191328;New Visitor;1;84;50;0;1;FALSE
201803191350;New Visitor;1;69;188;1;1;FALSE
201803191353;New Visitor;1;69;188;0;1;FALSE
201803191403;New Visitor;1;75;80;1;1;FALSE
201803191404;New Visitor;1;75;80;0;1;FALSE
201803191406;New Visitor;1;42;631;1;1;FALSE
201803191414;New Visitor;1;42;631;0;1;FALSE
201803191426;New Visitor;1;62;2;1;1;FALSE
201803191525;New Visitor;1;95;3;1;1;FALSE
201803191728;New Visitor;1;84;407;0;1;FALSE
201803191729;New Visitor;1;84;407;0;1;FALSE
201803191734;New Visitor;1;84;407;0;1;FALSE
201803191746;New Visitor;1;85;1;1;1;FALSE
201803191826;New Visitor;1;37;1;1;1;FALSE
201803192002;New Visitor;1;90;2;1;1;FALSE
201803192136;New Visitor;1;38;1;1;1;FALSE
201803192320;New Visitor;1;39;6;1;1;FALSE
201803192338;New Visitor;1;16;226;1;1;FALSE
201803192342;New Visitor;1;16;226;0;1;FALSE
201803200050;Returning Visitor;2;39;33;1;1;FALSE
201803200649;New Visitor;1;23;276;0;1;FALSE
201803200717;New Visitor;1;14;304;1;1;FALSE
201803200720;New Visitor;1;14;304;0;1;FALSE
201803200721;New Visitor;1;14;304;0;1;FALSE
201803200722;New Visitor;1;14;304;0;1;FALSE
201803200736;New Visitor;1;36;7;1;1;FALSE
201803201056;New Visitor;1;78;3;1;1;FALSE
201803201102;New Visitor;1;81;157;1;1;FALSE
201803201103;New Visitor;1;81;157;0;1;FALSE
201803201104;New Visitor;1;81;157;0;1;FALSE
201803201152;New Visitor;1;92;2;1;1;FALSE
201803201206;New Visitor;1;56;1;1;1;FALSE
201803201324;New Visitor;1;34;1;1;1;FALSE
201803201329;New Visitor;1;57;99;1;1;FALSE
201803201330;New Visitor;1;57;99;0;1;FALSE
201803201438;New Visitor;1;68;4;1;1;FALSE
201803201510;New Visitor;1;79;77;0;1;FALSE
201803201511;New Visitor;1;79;77;0;1;FALSE
201803201629;New Visitor;1;46;6;0;1;FALSE
201803201630;New Visitor;1;46;1;1;1;FALSE
201803201708;New Visitor;1;48;62;0;1;FALSE
201803201807;New Visitor;1;27;1;1;1;FALSE
201803201807;New Visitor;1;3;2;1;1;FALSE
201803201829;New Visitor;1;2;1;1;1;FALSE
